,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
1138,Girls Revenge,"Drama, Mystery, Thriller","Teen Movies,Chinese Movies,Dramas,Taiwanese Movies",English,Movie,4.1,"Lithuania,United Kingdom,Russia,United States,Germany,India,Czech Republic,South Korea,Mexico,Australia,Poland,Hong Kong,Japan,France,Canada,Spain,Singapore,Argentina,Greece,Switzerland,Slovakia,Sweden,Thailand,Belgium,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Colombia,Romania",1-2 hour,David Fincher,"Ben Affleck, Neil Patrick Harris, Rosamund Pike, Tyler Perry",8.1,87.0,79.0,64.0,"$167,767,189",03 Oct 2014,"After a sex video subjects her friend to mockery and bullying, a transfer student sets out to reveal the truth as campus secrets come to light.",863582.0
1152,The War of the Roses,"Comedy, Romance","Dark Comedies,Comedies,Movies Based on Books,Comedy Blockbusters,US Movies",English,Movie,3.9,South Korea,1-2 hour,Danny DeVito,"Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht",6.9,85.0,79.0,2.0,"$86,888,546",08 Dec 1989,"As a wealthy couples marriage starts to crumble, they launch into a series of spiteful, destructive and increasingly outrageous attacks on each other.",48270.0
1154,Harriet,"Action, Biography, Drama, History","Movies Based on Real Life,Social Issue Dramas,Dramas,Period Pieces,US Movies",English,Movie,3.4,"South Korea,Russia",> 2 hrs,Kasi Lemmons,"Joe Alwyn, Clarke Peters, Leslie Odom Jr., Cynthia Erivo",6.6,73.0,66.0,23.0,"$43,082,155",01 Nov 2019,"In this biopic, Harriet Tubman makes a harrowing escape from slavery and then risks her life to lead others to freedom via the Underground Railroad.",19939.0
1155,Dolittle,"Adventure, Comedy, Family, Fantasy","Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,US Movies","English, French",Movie,1.6,South Korea,1-2 hour,Stephen Gaghan,"Robert Downey Jr., Jim Broadbent, Michael Sheen, Antonio Banderas",5.6,14.0,26.0,1.0,"$77,047,065",17 Jan 2020,"When Queen Victoria falls ill, the reclusive Dr. Dolittle, his young apprentice and his animal friends set sail on an epic quest to find a magical cure.",48589.0
1164,The Mermaid,"Comedy, Drama, Fantasy, Romance","Dark Comedies,Dramas,Comedies,Movies Based on Books,Russian Movies",Mandarin,Movie,4.6,Russia,1-2 hour,Stephen Chow,"Yuqi Zhang, Yun Lin, Chao Deng, Show Lo",6.2,95.0,69.0,8.0,"$3,232,685",08 Feb 2016,An introverted young woman moves to Moscow with her mother and meets a man whose dangerous lifestyle forces her to question her whimsical beliefs.,8284.0
1174,MOTHER,"Crime, Drama, Mystery, Thriller","Dramas,Crime Movies,Crime Dramas,Japanese Movies",Korean,Movie,4.2,"Lithuania,United States,Germany,Russia,Poland,Mexico,Czech Republic,South Korea,India,Spain,Hungary,Australia,Hong Kong,Japan,France,Canada,Singapore,Argentina,Switzerland,Thailand,Malaysia,Brazil,Netherlands,South Africa,Iceland,Portugal,Israel,Italy,Greece,Sweden,Turkey,Belgium,Slovakia,United Kingdom,Colombia,Romania",> 2 hrs,Bong Joon Ho,"Jin Goo, Hye-ja Kim, Won Bin, Je-mun Yun",7.8,96.0,79.0,44.0,"$551,509",28 May 2009,"Shuhei’s erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy.",53293.0
1196,The Hummingbird Project,"Drama, Thriller","Dramas,Dramas,Independent Movies,Independent Movies,Canadian Movies,Canadian Movies","Russian, English, Spanish, Hebrew, Italian",Movie,2.9,United States,1-2 hour,Kim Nguyen,"Salma Hayek, Michael Mando, Alexander Skarsgård, Jesse Eisenberg",6.2,57.0,58.0,2.0,"$371,784",22 Mar 2019,"After discovering a shortcut that gives them a technological advantage, two cousins look to earn their big score by outracing a massive corporation.",12037.0
1205,Sleeper,"Comedy, Sci-Fi",Thriller Movies,"English, Yiddish",Movie,4.2,"Switzerland,Germany",1-2 hour,Woody Allen,"Mary Gregory, Diane Keaton, Woody Allen, John Beck",7.2,100.0,77.0,2.0,"$18,344,729",17 Dec 1973,"Recovering from a miscarriage, a woman suspects her husband of deceit until he lands in a coma and she is forced to piece together his true identity.",39767.0
1207,The Mountain Between Us,"Action, Adventure, Drama, Romance, Thriller","Romantic Dramas,Dramas,Adventures,Romantic Movies,Movies Based on Books",English,Movie,2.5,"Switzerland,Germany",1-2 hour,Hany Abu-Assad,"Dermot Mulroney, Idris Elba, Kate Winslet, Beau Bridges",6.4,38.0,48.0,2.0,"$30,348,555",06 Oct 2017,"After their charter plane crashes on a snowy mountain, two strangers must band together to live–but find their connection goes beyond simply surviving.",67847.0
1209,Im Not Ready for Christmas,"Action, Adventure, Fantasy, Sci-Fi","Children & Family Movies,Comedies,Family Dramas,Family Features,Family Comedies","English, Sanskrit",Movie,2.8,"Germany,Sweden",1-2 hour,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,A career-driven advertising executive suddenly finds that she has lost the ability to lie thanks to her nieces wish to Santa Claus.,733336.0
1217,1917,"Drama, Thriller, War","Military Dramas,Dramas,British Movies,Period Pieces","English, French, German",Movie,4.2,"Czech Republic,Slovakia,Hungary,Romania",1-2 hour,Sam Mendes,"George MacKay, Dean-Charles Chapman, Daniel Mays, Colin Firth",8.3,89.0,78.0,123.0,"$159,227,644",10 Jan 2020,"During World War I, two British soldiers attempt to cross enemy lines to deliver a message that could save hundreds, including ones own brother.",430438.0
1249,Im losing it,"Action, Adventure, Fantasy, Sci-Fi","Comedies,Russian Movies","English, Sanskrit",Movie,2.8,Russia,1-2 hour,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,"When her boundless love for food spoils her relationship, a young woman embarks on a fitness journey in an effort to win her boyfriend back.",733336.0
1331,Honey Boy,Drama,"Dramas,Independent Movies,US Movies","English, Spanish",Movie,4.0,South Korea,1-2 hour,Alma Har'el,"Noah Jupe, Shia LaBeouf, Byron Bowers, Lucas Hedges",7.3,94.0,73.0,10.0,"$3,012,615",27 Nov 2019,"A movie star struggling with addiction must look back at a childhood shaped by his unpredictable father, a one-time rodeo clown.",28105.0
1338,Judy,"Biography, Drama, Romance","Movies Based on Real Life,Dramas,Independent Movies,British Movies,Award-winning Dramas",English,Movie,3.6,Germany,1-2 hour,Rupert Goold,"Jessie Buckley, Finn Wittrock, Rufus Sewell, Renée Zellweger",6.8,81.0,66.0,23.0,"$24,313,888",04 Oct 2019,"Financially ruined, separated from her children and desperate for a fresh start, Judy Garland embarks on a series of sold-out London concerts in 1968.",41429.0
1369,Im Leaving Now,"Action, Adventure, Fantasy, Sci-Fi","Social & Cultural Docs,Mexican Movies,Documentary Films","English, Sanskrit",Movie,2.8,"Lithuania,Russia,India,Spain,Czech Republic,Germany,Mexico,Poland,Hong Kong,France,Greece,Slovakia,Sweden,Belgium,Turkey,Hungary,Brazil,Singapore,Argentina,Malaysia,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Canada,Thailand,Australia,United Kingdom,Japan,United States,Colombia,Romania",1-2 hour,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,"In this evocative documentary, an undocumented immigrant plans to return to Mexico after 16 years but his family tells him he needs to stay in the US.",733336.0
1400,One Day,"Drama, Romance","Dramas,Independent Movies,Hungarian Movies",English,Movie,2.6,Hungary,1-2 hour,Lone Scherfig,"Anne Hathaway, Tom Mison, Jodie Whittaker, Jim Sturgess",7.0,36.0,48.0,1.0,"$13,843,771",19 Aug 2011,"Between the demands of work and family, Anna is trapped in an exhausting routine — until a shocking discovery forces her to examine her life choices.",139731.0
1402,High & Low The Worst,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,"India,United Kingdom,United States,Australia,Hong Kong,Japan,Singapore,Thailand,Malaysia,Canada",> 2 hrs,David Mackenzie,"Dale Dickey, William Sterchi, Chris Pine, Ben Foster",7.6,97.0,88.0,47.0,"$27,007,844",26 Aug 2016,The street fighters of Oya High go up against the delinquent brawlers of Housen Academy in this action-packed “High & Low” and “Crows” crossover.,205077.0
1403,High & Low The Movie 3 / Final Mission,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,"India,United Kingdom,United States,Australia,Hong Kong,Japan,Singapore,Thailand,Malaysia,Canada",1-2 hour,David Mackenzie,"Dale Dickey, William Sterchi, Chris Pine, Ben Foster",7.6,97.0,88.0,47.0,"$27,007,844",26 Aug 2016,"The Kuryu Group makes it their mission to takeover the SWORD district once and for all, but the street gang alliance has a plan of their own.",205077.0
1405,High & Low The Movie 2 / End of Sky,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,"India,United Kingdom,United States,Australia,Hong Kong,Japan,Singapore,Thailand,Malaysia,Canada",> 2 hrs,David Mackenzie,"Dale Dickey, William Sterchi, Chris Pine, Ben Foster",7.6,97.0,88.0,47.0,"$27,007,844",26 Aug 2016,"The peaceful truce in the SWORD district is violently disrupted by the intrusion of two brutal gangs, causing loyalties and rivalries to erupt.",205077.0
1406,High & Low The Red Rain,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,"India,United Kingdom,United States,Australia,Hong Kong,Japan,Singapore,Thailand,Malaysia,South Korea,Canada",1-2 hour,David Mackenzie,"Dale Dickey, William Sterchi, Chris Pine, Ben Foster",7.6,97.0,88.0,47.0,"$27,007,844",26 Aug 2016,"As the two younger Amamiya boys search for their missing big brother, they uncover the truth about the tragedy that befell their family years ago.",205077.0
1407,High & Low The Movie,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,"India,United Kingdom,United States,Australia,Hong Kong,Japan,Singapore,Thailand,Malaysia,South Korea,Canada",> 2 hrs,David Mackenzie,"Dale Dickey, William Sterchi, Chris Pine, Ben Foster",7.6,97.0,88.0,47.0,"$27,007,844",26 Aug 2016,The five rival gangs ruling the SWORD district unite to face off against a 500-member strong attack led by a legendary gang leader.,205077.0
1430,Battle of the Sexes,"Biography, Comedy, Drama, Sport","Movies Based on Real Life,LGBTQ Movies,Comedies",English,Movie,3.8,"Switzerland,Germany",> 2 hrs,"Jonathan Dayton, Valerie Faris","Natalie Morales, Emma Stone, Andrea Riseborough, Steve Carell",6.7,85.0,73.0,3.0,"$12,638,526",29 Sep 2017,"While fighting for gender equality in tennis, top player Billie Jean King faces ex-champ Bobby Riggs in a match for the ages. Based on a true story.",50309.0
1431,Patti Cake$,"Drama, Music","Dramas,Hip-Hop,Independent Movies,Music & Musicals",English,Movie,3.9,"Switzerland,Germany",1-2 hour,Geremy Jasper,"Danielle Macdonald, Sahr Ngaujah, Mamoudou Athie, Bridget Everett",6.8,85.0,67.0,9.0,"$800,148",18 Aug 2017,"With dreams of making it out of her hometown, an aspiring rapper tries to find her voice and rhyme her way to fame, fortune, and respect.",9579.0
1449,The Lighthouse,"Drama, Fantasy, Horror, Mystery","Psychological Thrillers,Independent Movies,Thriller Movies,Period Pieces,US Movies",English,Movie,4.1,South Korea,1-2 hour,Robert Eggers,"Robert Pattinson, Logan Hawkes, Valeriia Karaman, Willem Dafoe",7.5,90.0,83.0,32.0,"$10,867,104",01 Nov 2019,A lighthouse keeper in 1890s New England begins to suspect that his veteran partner is dangerously unhinged â€“ but hes hiding some secrets of his own.,146042.0
1454,Wild Rose,"Comedy, Drama, Music","Dramas,British Movies,Music & Musicals",English,Movie,4.1,"Germany,United Kingdom,Spain",1-2 hour,Tom Harper,"Jessie Buckley, Jane Patterson, Matt Costello, Lesley Hart",7.2,92.0,80.0,17.0,"$1,635,117",21 Jun 2019,"Fresh out of prison, a scrappy working-class Glasgow mom pursues her dream of becoming a Nashville country singer, while learning tough life lessons.",10863.0
1470,Whos Afraid of the Wolf,"Action, Adventure, Comedy, Crime","Children & Family Movies,Czech Movies,Dramas","English, German",Movie,2.9,"Czech Republic,Slovakia",1-2 hour,Jay Roach,"Robert Wagner, Michael York, Mike Myers, Heather Graham",6.6,52.0,59.0,18.0,"$206,040,086",11 Jun 1999,"When her mother contemplates having an affair with a former beau who could revive her stalled singing career, 6-year-old Terezka conflates reality with her favorite fairy tale and begins to wonder if her mother could be someone else in disguise.",217014.0
1506,Quantum of Solace,"Action, Adventure, Thriller","Action & Adventure,Adventures,Spy Action & Adventure,British Movies,Action Thrillers","English, Spanish, Italian, French, Swiss German, German",Movie,3.1,United States,1-2 hour,Marc Forster,"Mathieu Amalric, Daniel Craig, Olga Kurylenko, Judi Dench",6.6,64.0,58.0,4.0,"$168,368,427",14 Nov 2008,"Picking up an hour after the events of 2006s Casino Royale, this James Bond adventure finds 007 tracking a traitor whos infiltrated Britains MI6.",406102.0
1520,Afterschool,"Drama, Mystery","Social Issue Dramas,Dramas,Independent Movies",English,Movie,6.3,United States,1-2 hour,Antonio Campos,"Michael Stuhlbarg, Ezra Miller, Jeremy Allen White, Emory Cohen",6.1,80.0,66.0,1.0,"$3,911",01 Oct 2008,"When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.",4377.0
1546,Somewhere In Time,"Drama, Fantasy, Romance","Romantic Films,Singaporean Movies",English,Movie,2.7,"Singapore,Malaysia",1-2 hour,Jeannot Szwarc,"Teresa Wright, Christopher Plummer, Christopher Reeve, Jane Seymour",7.2,61.0,29.0,7.0,"$9,709,597",03 Oct 1980,"In reincarnated lives from the Three Kingdoms period to the Republican era, a woman becomes torn between two sworn brothers.",26950.0
1553,Still Life,Drama,"Romantic Dramas,Social Issue Dramas,Dramas,Independent Films,Romantic Films,Romantic Independent Films,Romantic Favourites,Mainland Chinese Movies",English,Movie,4.3,"Singapore,Malaysia",1-2 hour,Uberto Pasolini,"Andrew Buchan, Joanne Froggatt, Karen Drury, Eddie Marsan",7.4,64.0,45.0,19.0,"$9,481",12 Dec 2013,Director Zhang Ke Jias pensive drama interlaces the tales of a miner and a nurse looking for their spouses amid the construction of Three Gorges Dam.,7414.0
1589,Anastasia,"Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance","Children & Family Movies,Family Sci-Fi & Fantasy,Family Features","English, Russian, French",Movie,3.6,"Lithuania,United Kingdom,Russia,Italy,Australia,Poland,Czech Republic,Hungary,Slovakia,Spain,South Korea,Romania,Sweden,Iceland",1-2 hour,"Don Bluth, Gary Goldman","Christopher Lloyd, Kelsey Grammer, Meg Ryan, John Cusack",7.2,86.0,61.0,10.0,"$58,406,347",21 Nov 1997,"After escaping a threat with a time portal, a Russian princess seeks a way to save her family back in time as a teen helps her navigate 1980s America.",112420.0
1591,Im Thinking of Ending Things,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Independent Movies,Movies Based on Books,US Movies,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas","English, Sanskrit",Movie,2.8,"Lithuania,Canada,Australia,Poland,Mexico,France,South Africa,Iceland,Thailand,Brazil,India,Singapore,Italy,Hong Kong,Spain,Japan,Greece,Czech Republic,Belgium,South Korea,United States,Argentina,Israel,Russia,Portugal,Hungary,Slovakia,Netherlands,Germany,Sweden,Switzerland,Turkey,Malaysia,United Kingdom,Colombia,Romania",> 2 hrs,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,733336.0
1594,Parasite,"Comedy, Drama, Thriller","Dark Comedies,Korean Films,Comedies,Independent Films,Thrillers,International Thrillers,International Comedies","Korean, English",Movie,4.7,"Thailand,Argentina,Mexico,Japan,Colombia",> 2 hrs,Bong Joon Ho,"Yeo-jeong Cho, Lee Sun-kyun, Kang-ho Song, Choi Woo-sik",8.6,98.0,96.0,300.0,"$53,369,749",08 Nov 2019,"One by one, the crafty members of a destitute family insinuate themselves into the household staff of a wealthy couple living in oblivious privilege.",566337.0
1603,Whos Next?,"Action, Adventure, Comedy, Crime",Dramas,"English, German",Movie,2.9,"Czech Republic,Slovakia",1-2 hour,Jay Roach,"Robert Wagner, Michael York, Mike Myers, Heather Graham",6.6,52.0,59.0,18.0,"$206,040,086",11 Jun 1999,"The darkness of online culture is explored through three different stories that focus on cyberbullying, sexual extortion, and very risky selfies.",217014.0
1614,Hustlers,"Comedy, Crime, Drama","Dark Comedies,Crime Comedies,Dramas,Crime Movies,Comedies,Crime Dramas","English, Russian",Movie,3.8,"Hungary,Czech Republic,Slovakia,Turkey,Romania",1-2 hour,Lorene Scafaria,"Mette Towley, Jennifer Lopez, Julia Stiles, Constance Wu",6.3,87.0,79.0,22.0,"$104,963,598",13 Sep 2019,A struggling stripper and her street-smart mentor team up to turn the tables on their Wall Street clientele during the 2008 global financial crisis.,84147.0
1624,Bullitt,"Action, Crime, Thriller","Action & Adventure,Dramas,Crime Movies,Crime Dramas,Crime Action & Adventure,Movies Based on Books,Classic Dramas,Classic Movies,Gangster Movies,Classic Action & Adventure",English,Movie,4.2,"Hungary,Czech Republic,Poland,Slovakia,Romania",1-2 hour,Peter Yates,"Don Gordon, Robert Vaughn, Jacqueline Bisset, Steve McQueen",7.4,97.0,81.0,7.0,"$511,350",17 Oct 1968,"After the murder of a mob witness he is guarding, San Francisco cop Frank Bullitt must uncover who exactly orchestrated the killing â€“ and why.",61088.0
